"sampled_at","elapsed_ms","drive_instance","disk_bytes_per_sec","disk_read_bytes_per_sec","disk_write_bytes_per_sec","disk_reads_per_sec","disk_writes_per_sec","avg_disk_sec_per_read","avg_disk_sec_per_write","current_disk_queue_length","percent_disk_time"
"2026-07-27T12:33:18.9069184+09:00","455.022","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:20.4309665+09:00","1827.28","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:21.7329383+09:00","3132.856","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:23.0503735+09:00","4439.888","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:24.3476369+09:00","5720.224","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:25.6311448+09:00","7004.712","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:26.9141874+09:00","8285.2","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:28.1947823+09:00","9581.698","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:29.4883294+09:00","10876.187","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:30.7844930+09:00","12172.643","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:32.0771528+09:00","13461.459","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:33.3694756+09:00","14757.428","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:34.6621972+09:00","16047.874","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:35.9616562+09:00","17341.684","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:37.2508972+09:00","18640.137","E:","0","0","0","0","0","0","0","0","0"
"2026-07-27T12:33:38.5517811+09:00","19928.451","E:","0","0","0","0","0","0","0","0","0"
