phase_order,ratio,window,read_bandwidth_mib_s,write_bandwidth_mib_s,total_bandwidth_mib_s,read_clat_mean_ms,write_clat_mean_ms,experiment_id,phase_code,requested_pre_probe_idle_sec,condition_replicate
1,70:30,first,82.2090594951923,35.24444110576923,117.45350060096155,0.3735009,0.228097375,idle_ramp_7030_32g_20260725,A1,300,1
1,70:30,middle,84.4447998046875,36.2224853515625,120.66728515625,0.38083745,0.225609325,idle_ramp_7030_32g_20260725,A1,300,1
1,70:30,last,101.2154541015625,43.3434814453125,144.558935546875,0.333288243902439,0.18276958536585364,idle_ramp_7030_32g_20260725,A1,300,1
2,70:30,first,110.94709034455128,47.56357672275641,158.51066706730768,0.308307475,0.158508375,idle_ramp_7030_32g_20260725,B1,60,1
2,70:30,middle,125.39208984375,53.7830322265625,179.1751220703125,0.294900025,0.13384525,idle_ramp_7030_32g_20260725,B1,60,1
2,70:30,last,129.7990663109756,55.60556402439025,185.40463033536585,0.29569739024390246,0.13354443902439025,idle_ramp_7030_32g_20260725,B1,60,1
3,70:30,first,107.37925681089743,46.02128405448718,153.4005408653846,0.3573267,0.203553625,idle_ramp_7030_32g_20260725,C1,0,1
3,70:30,middle,108.79423828125,46.6658203125,155.46005859375,0.317878575,0.16175879999999998,idle_ramp_7030_32g_20260725,C1,0,1
3,70:30,last,117.0886290015244,50.1782822027439,167.2669112042683,0.31162965853658536,0.14569105,idle_ramp_7030_32g_20260725,C1,0,1
4,70:30,first,106.44966947115384,45.63095953525641,152.08062900641025,0.32758752500000005,0.174905225,idle_ramp_7030_32g_20260725,C2,0,2
4,70:30,middle,136.9580322265625,58.739013671875,195.6970458984375,0.28333747499999995,0.116380925,idle_ramp_7030_32g_20260725,C2,0,2
4,70:30,last,138.9506716844512,59.56316692073171,198.5138386051829,0.28508843902439024,0.11417507317073171,idle_ramp_7030_32g_20260725,C2,0,2
5,70:30,first,117.69551282051282,50.46494391025641,168.16045673076923,0.302524575,0.1475135,idle_ramp_7030_32g_20260725,B2,60,2
5,70:30,middle,133.7335205078125,57.341650390625,191.0751708984375,0.28709327500000004,0.12070435,idle_ramp_7030_32g_20260725,B2,60,2
5,70:30,last,113.82967320884147,48.777177019817074,162.60685022865854,0.3195857317073171,0.15574768292682925,idle_ramp_7030_32g_20260725,B2,60,2
6,70:30,first,143.7899389022436,61.64570813301282,205.4356470352564,0.273226325,0.11071725,idle_ramp_7030_32g_20260725,A2,300,2
6,70:30,middle,144.0535888671875,61.70126953125,205.7548583984375,0.27698235,0.10736505,idle_ramp_7030_32g_20260725,A2,300,2
6,70:30,last,129.4663681402439,55.63240758384146,185.09877572408536,0.30641709756097557,0.14122348780487803,idle_ramp_7030_32g_20260725,A2,300,2
