phase_order,cycle,position,ratio,window,read_bandwidth_mib_s,write_bandwidth_mib_s,total_bandwidth_mib_s,read_clat_mean_ms,write_clat_mean_ms
1,1,1,90:10,first,79.78749006885593,8.88138903601695,88.66887910487289,0.4721126,0.32066523333333335
1,1,1,90:10,middle,93.08015950520833,10.349527994791666,103.4296875,0.41667091666666667,0.26616833333333334
1,1,1,90:10,last,80.3610399590164,8.931992827868852,89.29303278688525,0.7002433770491804,0.32724416666666667
2,1,2,70:30,first,42.112387447033896,18.070974576271187,60.18336202330508,0.650665033898305,0.5257229322033898
2,1,2,70:30,middle,39.57814127604167,16.94619140625,56.52433268229167,0.6843008524590164,0.559622655737705
2,1,2,70:30,last,65.41534323770492,28.07109695184426,93.48644018954917,0.4853859836065574,0.3657426557377049
3,1,3,50:50,first,29.649695444915253,29.623924126059322,59.273619570974574,0.7057338000000001,0.5666494333333334
3,1,3,50:50,middle,29.383138020833332,29.322705078125,58.70584309895833,0.7048897118644069,0.5610695084745763
3,1,3,50:50,last,32.87572041495902,32.8497534579918,65.72547387295083,0.632837629032258,0.49587403278688524
4,2,1,70:30,first,109.32959811970339,46.895309189618644,156.22490730932202,0.3155615,0.16757755
4,2,1,70:30,middle,110.62281901041666,47.396158854166664,158.01897786458332,0.29384093333333333,0.17687375
4,2,1,70:30,last,107.97228803790983,46.29498591188525,154.26727394979508,0.32180231147540983,0.17247293442622952
5,2,2,50:50,first,69.25501522775424,69.17232190148304,138.4273371292373,0.34033185,0.21541808333333334
5,2,2,50:50,middle,72.614599609375,72.56017252604167,145.17477213541667,0.32727318333333333,0.20100421666666668
5,2,2,50:50,last,36.261030353483605,36.240602587090166,72.50163294057377,0.6983251803278689,0.5592414918032786
6,2,3,90:10,first,48.97341763771186,5.4593650688559325,54.43278270656779,0.7119775833333334,0.5284487166666667
6,2,3,90:10,middle,49.155810546875,5.450276692708333,54.60608723958334,0.709081,0.5576693559322033
6,2,3,90:10,last,49.340660220286885,5.500752433401639,54.84141265368852,0.6922663387096775,0.5563958387096775
7,3,1,50:50,first,61.65677966101695,61.55909030720339,123.21586996822035,0.3818299666666667,0.25881604999999996
7,3,1,50:50,middle,63.7552734375,63.70626627604167,127.46153971354167,0.3602903,0.23594131666666668
7,3,1,50:50,last,66.20230852971312,66.26596119364754,132.46826972336066,0.3536685081967213,0.22609465573770493
8,3,2,90:10,first,168.12668829449152,18.701916710805083,186.8286050052966,0.25468455,0.1279484
8,3,2,90:10,middle,165.797607421875,18.427506510416666,184.22511393229166,0.25041338333333335,0.13565115
8,3,2,90:10,last,150.03999103483608,16.64994236680328,166.68993340163937,0.3148032131147541,0.11697113333333334
9,3,3,70:30,first,113.83446438029661,48.8006157309322,162.6350801112288,0.3113117833333333,0.15479231666666668
9,3,3,70:30,middle,117.67177734375,50.451953125,168.12373046875,0.28353545,0.15829671666666667
9,3,3,70:30,last,108.82919761782787,46.680904200819676,155.51010181864754,0.3310622786885246,0.15931473770491802
