phase_order,cycle,position,ratio,window,read_bandwidth_mib_s,write_bandwidth_mib_s,total_bandwidth_mib_s,read_clat_mean_ms,write_clat_mean_ms
1,1,1,50:50,first,60.40328720868644,60.30528336864407,120.7085705773305,0.3954897,0.2663482833333333
1,1,1,50:50,middle,90.92509765625,90.90517578125,181.8302734375,0.2898427,0.1505869333333333
1,1,1,50:50,last,90.021044921875,90.00467122395834,180.02571614583334,0.32088121311475415,0.1480478524590164
2,1,2,70:30,first,107.22032243114407,45.994488215042374,153.21481064618644,0.3165623166666667,0.18892461666666666
2,1,2,70:30,middle,145.739453125,62.4427734375,208.1822265625,0.24911095000000003,0.11988626666666666
2,1,2,70:30,last,143.6937596055328,61.584016393442624,205.27777599897541,0.28636808196721314,0.1031803
3,1,3,90:10,first,145.7541545286017,16.217425847457626,161.97158037605934,0.3001369166666667,0.15598198333333332
3,1,3,90:10,middle,206.225390625,22.937386067708335,229.16277669270832,0.22478096666666667,0.09613126666666666
3,1,3,90:10,last,193.21842981557376,21.421634861680328,214.6400646772541,0.2564655573770492,0.08695818333333333
4,2,1,70:30,first,100.92566538665254,43.296527409957626,144.22219279661016,0.3411691333333334,0.18683245
4,2,1,70:30,middle,137.68889973958332,59.004833984375,196.6937337239583,0.28403178333333334,0.11581626666666667
4,2,1,70:30,last,131.01192686987704,56.12287077356557,187.13479764344262,0.31984021311475413,0.11221938333333333
5,2,2,90:10,first,133.69031382415255,14.886073225635593,148.57638704978814,0.32333009999999995,0.1628175
5,2,2,90:10,middle,195.07757161458332,21.667057291666666,216.74462890625,0.2476379333333333,0.0916171
5,2,2,90:10,last,185.11030353483608,20.561283299180328,205.6715868340164,0.2779034262295082,0.08276396666666666
6,2,3,50:50,first,63.88461665783898,63.799010195974574,127.68362685381356,0.36740905,0.2381701
6,2,3,50:50,middle,97.28094075520833,97.24510091145834,194.52604166666669,0.28182776666666665,0.13832761666666668
6,2,3,50:50,last,96.21372310450819,96.23861744364754,192.45234054815575,0.31885545901639345,0.1287684918032787
7,3,1,90:10,first,136.31149033368644,15.179323358050848,151.4908136917373,0.31687438333333334,0.16119453333333333
7,3,1,90:10,middle,192.93160807291667,21.427555338541666,214.35916341145833,0.25428993333333333,0.08928581666666667
7,3,1,90:10,last,182.47196785348362,20.264904585040984,202.7368724385246,0.283435131147541,0.08150883333333332
8,3,2,50:50,first,60.8585639565678,60.76420153601695,121.62276549258475,0.37353878333333335,0.2465545
8,3,2,50:50,middle,97.50157877604167,97.46520182291667,194.96678059895834,0.2808102333333333,0.13878179999999998
8,3,2,50:50,last,95.18127241290983,95.21530801741804,190.39658043032787,0.3164834426229508,0.13215637704918032
9,3,3,70:30,first,88.91358249470339,38.140757415254235,127.05433990995763,0.3582701,0.21676245000000002
9,3,3,70:30,middle,145.54480794270833,62.363427734375,207.90823567708333,0.24911258333333333,0.11983128333333334
9,3,3,70:30,last,143.6640625,61.58366419057377,205.24772669057376,0.28037640983606554,0.10759160000000001
