result_set,workload,operation,rw,bs,iodepth,size,direct,run_count,bandwidth_mib_s_mean,bandwidth_mib_s_std,iops_mean,iops_std,clat_p99_us_mean,clat_p99_us_std,clat_p999_us_mean,clat_p999_us_std,clat_max_us_mean,clat_max_us_std,bandwidth_mib_s_cv,iops_cv,clat_p99_us_cv,clat_p999_us_cv,clat_max_us_cv,iops_last_over_first_mean,clat_last_over_first_mean
sustained_rand_read_120s_qd16_repeat3,rand_read,read,randread,4k,16,512M,1,3,170.19387213389078,9.789175210692528,43569.631364333334,2506.028900220183,749.5679999999999,67.05440990717912,1798.1440000000002,878.2362729744201,68506.31300000001,48309.47409797328,0.05751778890717891,0.05751778984000427,0.08945740734286833,0.488412648249762,0.7051828069914269,1.0383483110312721,1.0029102242456964
sustained_rand_read_120s_qd32_repeat3,rand_read,read,randread,4k,32,512M,1,3,235.12462457021078,18.392208682709114,60191.90395666667,4708.4054057833155,1094.9973333333335,9.459306810402838,1591.9786666666666,82.46432492498393,32356.486999999997,9890.067867232103,0.0782232346625906,0.07822323429365166,0.008638657394358498,0.05179989320940477,0.3056595070791246,0.9794835220743582,1.0260969080170013
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,write,randwrite,4k,16,512M,1,3,125.1343625386556,4.011950573599904,32034.396935666664,1027.0594441734327,950.2719999999999,231.66854336314196,4560.213333333333,908.142719685256,61410.58633333334,29008.948045501485,0.03206114205728711,0.03206114496976588,0.2437918231444702,0.19914478847888462,0.47237699194146243,1.1618010469815354,0.8692878292049512
sustained_rand_write_120s_qd16_repeat3,rand_write,write,randwrite,4k,16,512M,1,3,162.9556509653727,7.090919357335994,41716.64680566666,1815.275323316305,516.096,31.925160485109572,735.9146666666666,62.028822891727806,21374.955666666665,16450.647281477686,0.043514412144214504,0.043514411207895155,0.06185895741317424,0.08428806450167385,0.7696225217033676,1.0590626181759475,0.9504475832637441
sustained_rand_write_120s_qd16_trace_repeat3_20260722,rand_write,write,randwrite,4k,16,512M,1,3,127.19297154744466,2.18419889851547,32561.400877000004,559.154983098,667.648,8.192000000000007,1313.4506666666666,93.16336767921888,37039.63566666667,7405.033328039876,0.017172323847318365,0.017172325761111936,0.01226993865030676,0.07093023746042401,0.19992187273871967,1.0781562067839563,0.8989551462463136
sustained_rand_write_120s_qd32_repeat3,rand_write,write,randwrite,4k,32,512M,1,3,141.73185888926187,7.22100537648992,36283.355972,1848.577339076144,1226.0693333333331,96.00147909971675,2124.458666666667,813.8715238299799,40977.173,8583.909110152144,0.0509483572224354,0.05094835605897917,0.07830020414809338,0.3830959559721472,0.2094802662485317,0.9744787764074238,1.0162264020972531
sustained_rand_write_300s_qd32_repeat3,rand_write,write,randwrite,4k,32,512M,1,3,138.73900763193765,9.03735086819767,35517.186053666665,2313.56171448915,1329.8346666666666,77.42776322052268,3249.4933333333333,311.43968613735365,49224.91266666667,9506.953614869612,0.06513922091884183,0.06513921770135014,0.05822360114479595,0.09584253734039162,0.19313297068188354,0.9101375303074516,1.116449565642441
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,write,randwrite,4k,32,512M,1,3,147.89845593770346,1.4981578308918995,37862.00490433333,383.528428794665,1015.808,84.63965519778542,1717.5893333333333,188.47535297044374,4104392.991666667,3099869.8838917315,0.010129638077647956,0.010129638664506379,0.08332249322488641,0.10973248920023786,0.7552565970621079,1.0136434596746615,0.7592860304923986
sustained_state_repro_002_session1_20260723_baseline_qd16_120s_run1,rand_write,write,randwrite,4k,16,512M,1,1,123.84701442718506,,31704.835793,,741.376,,2277.376,,57432.292,,0.0,0.0,0.0,0.0,0.0,1.4135988000551698,0.675439754272456
sustained_state_repro_002_session1_20260723_condition_qd32_300s_run1,rand_write,write,randwrite,4k,32,512M,1,1,132.71623706817627,,33975.356749,,1449.984,,4423.68,,119673.292,,0.0,0.0,0.0,0.0,0.0,0.8856446139995908,1.1592149026012473
sustained_state_repro_002_session1_20260723_post_qd16_120s_run1,rand_write,write,randwrite,4k,16,512M,1,1,115.9631929397583,,29686.577612,,946.176,,3784.704,,110145.71,,0.0,0.0,0.0,0.0,0.0,0.9017114276759821,1.0477418584860076
sustained_state_repro_002_session2_20260723_baseline_qd16_120s_run1,rand_write,write,randwrite,4k,16,512M,1,1,140.86562252044678,,36061.599487,,569.344,,913.408,,31303.576,,0.0,0.0,0.0,0.0,0.0,1.1386126979334084,0.8797261373312607
sustained_state_repro_002_session2_20260723_condition_qd32_300s_run1,rand_write,write,randwrite,4k,32,512M,1,1,121.35447788238525,,31066.746444,,1335.296,,3031.04,,101974.3,,0.0,0.0,0.0,0.0,0.0,1.1760035365640304,0.8969160989992768
sustained_state_repro_002_session2_20260723_post_qd16_120s_run1,rand_write,write,randwrite,4k,16,512M,1,1,130.16841316223145,,33323.113974,,724.992,,1908.736,,33849.62,,0.0,0.0,0.0,0.0,0.0,1.2304058374129268,0.8011500128187671
sustained_state_repro_002_session3_20260723_baseline_qd16_120s_run1,rand_write,write,randwrite,4k,16,512M,1,1,110.33973789215088,,28246.972942,,1089.536,,3424.256,,49192.15,,0.0,0.0,0.0,0.0,0.0,0.9166636411344755,1.0491048167063468
sustained_state_repro_002_session3_20260723_condition_qd32_300s_run1,rand_write,write,randwrite,4k,32,512M,1,1,103.16158294677734,,26409.365302,,2310.144,,6062.08,,78364.067,,0.0,0.0,0.0,0.0,0.0,1.2329061908999888,0.8104282471057941
