msec,sec,bandwidth_kib_s,iops,clat_avg_us,result_set,workload,run,source_file
1000.0,1.0,,,233.303,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
1002.0,1.002,141900.0,35475.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
2000.0,2.0,,,236.18,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
2002.0,2.002,141713.0,35428.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
3000.0,3.0,,,309.799,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
3009.0,3.009,106385.0,26596.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
4000.0,4.0,,,231.546,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
4010.0,4.01,143724.0,35931.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
5000.0,5.0,,,196.484,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
5011.0,5.011,170713.0,42678.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
6000.0,6.0,,,194.228,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
6012.0,6.012,172307.0,43076.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
7000.0,7.0,,,212.715,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
7012.0,7.012,156624.0,39156.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
8000.0,8.0,,,253.272,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
8012.0,8.012,137736.0,34434.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
9000.0,9.0,,,258.411,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
9012.0,9.012,130964.0,32741.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
10000.0,10.0,,,236.033,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
10011.0,10.011,141583.0,35395.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
11000.0,11.0,,,234.334,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
11012.0,11.012,141906.0,35476.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
12000.0,12.0,,,257.84,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
12013.0,12.013,128000.0,32000.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
13000.0,13.0,,,243.389,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
