file,result_set,relative_path,workload,run,operation,rw,bs,iodepth,size,direct,runtime_sec,bandwidth_mib_s,iops,clat_mean_us,clat_p99_us,clat_p999_us,clat_max_us,fio_version,timestamp,timestamp_ms
rand_write_sustained_run1.json,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json,rand_write,1,write,randwrite,4k,16,1G,1,120.001,86.4094352722168,22120.81566,367.285041389,1581.056,5144.576,1040586.906,fio-3.42,1780841915,1780841915426
rand_read_120s_repeat3_sustained_run1.json,rand_read_120s_repeat3,results\sustained_smoke\rand_read_120s_repeat3\rand_read_120s_repeat3_sustained_run1.json,rand_read,1,read,randread,4k,16,1G,1,120.001,105.66096782684326,27049.207923,383.86431145,1744.896,9240.576,88486.107,fio-3.42,1780846246,1780846246978
rand_read_120s_repeat3_sustained_run2.json,rand_read_120s_repeat3,results\sustained_smoke\rand_read_120s_repeat3\rand_read_120s_repeat3_sustained_run2.json,rand_read,2,read,randread,4k,16,1G,1,120.001,95.31723880767822,24401.213323,416.463186373,2539.52,9109.504,102640.471,fio-3.42,1780846367,1780846367799
rand_read_120s_repeat3_sustained_run3.json,rand_read_120s_repeat3,results\sustained_smoke\rand_read_120s_repeat3\rand_read_120s_repeat3_sustained_run3.json,rand_read,3,read,randread,4k,16,1G,1,120.001,86.66542339324951,22186.348447,453.843644226,3162.112,11206.656,114400.63,fio-3.42,1780846488,1780846488685
rand_write_rand_write_120s_repeat3_sustained_run1.json,rand_write_120s_repeat3,results\sustained_smoke\rand_write_120s_repeat3\rand_write_rand_write_120s_repeat3_sustained_run1.json,rand_write,1,write,randwrite,4k,16,1G,1,120.001,119.31550884246826,30544.77046,271.84624921600005,684.032,1236.992,309813.685,fio-3.42,1780843779,1780843779162
rand_write_rand_write_120s_repeat3_sustained_run2.json,rand_write_120s_repeat3,results\sustained_smoke\rand_write_120s_repeat3\rand_write_rand_write_120s_repeat3_sustained_run2.json,rand_write,2,write,randwrite,4k,16,1G,1,120.001,114.71678447723389,29367.496938,284.54001903700004,675.84,1187.84,4944516.039,fio-3.42,1780843899,1780843899925
rand_write_rand_write_120s_repeat3_sustained_run3.json,rand_write_120s_repeat3,results\sustained_smoke\rand_write_120s_repeat3\rand_write_rand_write_120s_repeat3_sustained_run3.json,rand_write,3,write,randwrite,4k,16,1G,1,120.001,113.07916831970215,28948.267098,285.609310205,806.912,2277.376,36240.114,fio-3.42,1780844020,1780844020700
rand_write_300s_repeat3_sustained_run1.json,rand_write_300s_repeat3,results\sustained_smoke\rand_write_300s_repeat3\rand_write_300s_repeat3_sustained_run1.json,rand_write,1,write,randwrite,4k,16,2G,1,300.001,83.97376918792725,21497.285009,379.569220372,1679.36,6324.224,2145048.356,fio-3.42,1780845030,1780845030209
rand_write_300s_repeat3_sustained_run2.json,rand_write_300s_repeat3,results\sustained_smoke\rand_write_300s_repeat3\rand_write_300s_repeat3_sustained_run2.json,rand_write,2,write,randwrite,4k,16,2G,1,300.001,75.25170135498047,19264.435785,427.245059951,2736.128,10682.368,68495.73,fio-3.42,1780845331,1780845331052
rand_write_300s_repeat3_sustained_run3.json,rand_write_300s_repeat3,results\sustained_smoke\rand_write_300s_repeat3\rand_write_300s_repeat3_sustained_run3.json,rand_write,3,write,randwrite,4k,16,2G,1,300.001,73.17002868652344,18731.527562,439.796519762,3031.04,10027.008,70828.125,fio-3.42,1780845631,1780845631970
