msec,sec,bandwidth_mib_s,iops,clat_avg_us,workload,run,result_set,source_file
1049.0,1.049,,,57.226,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
2000.0,2.0,113.0693359375,28945.0,324.663,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
3000.0,3.0,100.5078125,25730.0,319.046,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
4000.0,4.0,110.5400390625,28298.0,291.108,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
5000.0,5.0,,,311.835,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
5001.0,5.001,102.3671875,26206.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
6000.0,6.0,110.10546875,28187.0,292.717,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
7000.0,7.0,113.78515625,29129.0,283.345,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
8000.0,8.0,103.701171875,26547.0,308.343,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
9000.0,9.0,89.7421875,22974.0,343.923,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
10000.0,10.0,69.3515625,17754.0,464.111,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
11000.0,11.0,40.55859375,10383.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
11007.0,11.007,,,876.373,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
12000.0,12.0,73.5341796875,18824.0,424.875,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
13000.0,13.0,90.8837890625,23266.0,349.648,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
14000.0,14.0,81.7373046875,20924.0,390.276,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
15000.0,15.0,52.19140625,13361.0,613.251,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
16000.0,16.0,,,542.308,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
16001.0,16.001,58.35546875,14939.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
17000.0,17.0,45.162109375,11561.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
17002.0,17.002,,,688.327,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
18000.0,18.0,,,478.192,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
18001.0,18.001,66.6328125,17058.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
19000.0,19.0,81.041015625,20746.0,389.944,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
20000.0,20.0,,,372.92,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
20001.0,20.001,85.03515625,21769.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
21000.0,21.0,84.607421875,21659.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
21001.0,21.001,,,372.965,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
22000.0,22.0,86.6875,22192.0,364.666,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
23000.0,23.0,89.25,22848.0,356.577,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
24000.0,24.0,,,319.29,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
24001.0,24.001,100.16015625,25641.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
25001.0,25.001,88.9921875,22782.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
25017.0,25.017,,,364.632,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
26000.0,26.0,,,369.62,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
26001.0,26.001,88.373046875,22623.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
27000.0,27.0,101.87109375,26079.0,314.15,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
28000.0,28.0,,,271.178,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
28001.0,28.001,119.0,30464.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
29000.0,29.0,118.6103515625,30364.0,271.67,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
30000.0,30.0,118.4345703125,30319.0,272.758,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
31000.0,31.0,,,346.708,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
31001.0,31.001,91.734375,23484.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
32000.0,32.0,107.955078125,27636.0,297.256,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
33000.0,33.0,,,282.314,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
33001.0,33.001,114.3046875,29262.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
34000.0,34.0,115.919921875,29675.0,278.578,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
35000.0,35.0,112.1875,28720.0,286.684,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
36000.0,36.0,106.2890625,27210.0,303.284,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
37000.0,37.0,94.34765625,24153.0,337.82,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
38000.0,38.0,,,341.363,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
38001.0,38.001,93.84375,24024.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
39000.0,39.0,,,484.581,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
39001.0,39.001,67.10546875,17179.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
40000.0,40.0,70.55859375,18063.0,441.312,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
41000.0,41.0,60.47265625,15481.0,518.826,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
42000.0,42.0,79.3291015625,20308.0,410.368,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
43000.0,43.0,88.27734375,22599.0,365.65,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
44000.0,44.0,,,387.039,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
44001.0,44.001,82.12109375,21023.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
45000.0,45.0,84.5009765625,21632.0,376.251,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
46000.0,46.0,89.66015625,22953.0,355.712,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
47000.0,47.0,102.5986328125,26265.0,311.868,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
48000.0,48.0,104.03515625,26633.0,309.269,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
49000.0,49.0,95.6962890625,24498.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
49001.0,49.001,,,331.897,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
50000.0,50.0,93.7138671875,23990.0,341.81,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
51000.0,51.0,118.203125,30260.0,273.751,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
52000.0,52.0,,,277.403,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
52001.0,52.001,115.984375,29692.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
53000.0,53.0,107.951171875,27635.0,298.396,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
54000.0,54.0,56.51953125,14469.0,580.093,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
55000.0,55.0,40.9033203125,10471.0,723.887,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
56000.0,56.0,51.6796875,13230.0,623.52,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
57000.0,57.0,67.4658203125,17271.0,471.833,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
58000.0,58.0,,,372.083,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
58001.0,58.001,84.58984375,21655.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
59000.0,59.0,84.404296875,21607.0,376.923,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
60000.0,60.0,,,319.493,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
60001.0,60.001,99.55859375,25487.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
61000.0,61.0,96.9794921875,24826.0,330.286,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
62000.0,62.0,75.7158203125,19383.0,412.669,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
63000.0,63.0,59.8173828125,15313.0,538.105,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
64000.0,64.0,,,518.355,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
64001.0,64.001,62.3671875,15966.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
65000.0,65.0,,,428.646,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
65001.0,65.001,73.5146484375,18819.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
66000.0,66.0,57.8896484375,14819.0,549.701,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
67000.0,67.0,67.2265625,17210.0,475.076,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
68000.0,68.0,,,462.036,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
68001.0,68.001,69.89453125,17893.0,,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
69000.0,69.0,47.2421875,12094.0,729.486,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
70000.0,70.0,55.8125,14288.0,553.806,rand_write,1,legacy_root,results\sustained_smoke\rand_write_sustained_run1.json
