result_set,workload,run,window,sample_count,sec_min,sec_max,bandwidth_mib_s_mean,bandwidth_mib_s_min,bandwidth_mib_s_max,iops_mean,iops_min,iops_max,clat_avg_us_mean,clat_avg_us_min,clat_avg_us_max,first_iops_mean,last_iops_mean,iops_last_over_first,first_bandwidth_mib_s_mean,last_bandwidth_mib_s_mean,bandwidth_last_over_first,first_clat_avg_us_mean,last_clat_avg_us_mean,clat_last_over_first
legacy_root,rand_write,1,first_third,55,1.049,40.0,91.24446614583333,40.55859375,119.0,23358.410256410258,10383.0,30464.0,369.995925,57.226,876.373,23358.410256410258,22278.05,0.9537485537521213,91.24446614583333,87.0243896484375,0.9537497814864629,369.995925,388.23426829268294,1.0492933626030692
legacy_root,rand_write,1,last_third,74,81.0,120.031,87.0243896484375,49.08984375,122.02734375,22278.05,12567.0,31239.0,388.23426829268294,265.335,666.011,23358.410256410258,22278.05,0.9537485537521213,91.24446614583333,87.0243896484375,0.9537497814864629,369.995925,388.23426829268294,1.0492933626030692
legacy_root,rand_write,1,middle,51,41.0,80.0,83.320263671875,40.9033203125,121.0537109375,21329.775,10471.0,30989.0,414.787,267.778,729.486,23358.410256410258,22278.05,0.9537485537521213,91.24446614583333,87.0243896484375,0.9537497814864629,369.995925,388.23426829268294,1.0492933626030692
rand_read_120s_repeat3,rand_read,1,first_third,61,1.0,40.0,90.9524658203125,36.03125,172.23046875,23283.475,9224.0,44084.0,500.73159999999996,261.064,1101.555,23283.475,29407.714285714286,1.2630294354993956,90.9524658203125,114.87372116815476,1.2630083212378385,500.73159999999996,394.7401463414634,0.7883268128903058
rand_read_120s_repeat3,rand_read,1,last_third,57,80.001,120.0,114.87372116815476,38.2724609375,184.40234375,29407.714285714286,9797.0,47207.0,394.7401463414634,226.159,1025.416,23283.475,29407.714285714286,1.2630294354993956,90.9524658203125,114.87372116815476,1.2630083212378385,500.73159999999996,394.7401463414634,0.7883268128903058
rand_read_120s_repeat3,rand_read,1,middle,48,41.0,80.0,111.90166766826923,52.6767578125,153.27734375,28646.71794871795,13485.0,39239.0,387.213225,281.144,748.547,23283.475,29407.714285714286,1.2630294354993956,90.9524658203125,114.87372116815476,1.2630083212378385,500.73159999999996,394.7401463414634,0.7883268128903058
rand_read_120s_repeat3,rand_read,2,first_third,52,1.0,40.0,89.2243408203125,32.6796875,138.291015625,22841.25,8366.0,35402.0,475.46192499999995,305.531,1190.169,22841.25,25449.268292682926,1.114180191219085,89.2243408203125,99.41184737042683,1.1141785577394265,475.46192499999995,423.42556097560976,0.8905561911726366
rand_read_120s_repeat3,rand_read,2,last_third,60,81.001,120.0,99.41184737042683,61.3251953125,159.75390625,25449.268292682926,15699.0,40897.0,423.42556097560976,274.164,638.381,22841.25,25449.268292682926,1.114180191219085,89.2243408203125,99.41184737042683,1.1141785577394265,475.46192499999995,423.42556097560976,0.8905561911726366
rand_read_120s_repeat3,rand_read,2,middle,64,41.0,80.0,97.6739013671875,48.2197265625,152.4375,25004.325,12344.0,39024.0,427.11677499999996,282.247,818.037,22841.25,25449.268292682926,1.114180191219085,89.2243408203125,99.41184737042683,1.1141785577394265,475.46192499999995,423.42556097560976,0.8905561911726366
rand_read_120s_repeat3,rand_read,3,first_third,57,1.0,40.0,83.474560546875,36.47265625,149.6611328125,21369.625,9337.0,38313.0,528.377075,285.884,1044.41,21369.625,22791.780487804877,1.066550324949777,83.474560546875,89.03110708841463,1.066565747757598,528.377075,473.9109512195121,0.8969180792325483
